name,fake_name
Ninetta,Fiorenzo
Damiano,Annunziata
Federigo,Virgilio
Michela,Simonetta
Alina,Rita
Nicoletta,Pietro
Silvia,Donato
Lina,Achille
Gioacchino,Alderano
Lazzaro,Cesare
Carmelo,Livio
Flavia,Daria
Enzio,Antonina
Francesco,Caterina
Stefani,Dino
Nadia,Amleto
Alphons,Mirco
Oreste,Valerio
Marisa,Piergiuseppe
Romina,Imelda
Viridiana,Santino
Paulina,Dante
Luisa,Raffaellino
Nicolò,Baldassare
Telemaco,Lucia
Lorenzo,Paolo
Massimo,Ruggiero
Annamaria,Giada
Annetta,Ignazio
Luca,Vittorio
Elmo,Greca
Bernardo,Vincenza
Letizia,Stefani
Corrado,Stella
Vincenza,Maurizio
Salvatore,Graziella
Alfredo,Gianpietro
Ferdinando,Veronica
Cassandra,Adamo
Carlo,Paride
Stefania,Giovanna
Claudia,Zaira
Coriolano,Manuel
Gianluca,Salvi
Aldo,Rossana
Susanna,Alfio
Adelasia,Piergiorgio
Rosina,Costanzo
Sandra,Susanna
Ubaldo,Gianpaolo
Giampiero,Ciro
Eliana,Cristina
Elladio,Irma
Manuel,Emilio
Paoletta,Filippa
Ettore,Silvia
Tonino,Ornella
Ermenegildo,Romina
Mariano,Tina
Guido,Alberico
Fabia,Baccio
Mercedes,Cipriano
Baccio,Ilaria
Antonino,Salvatore
Serena,Elvira
Massimiliano,Maurilio
Cirillo,Jacopo
Roman,Gioffre
Delfino,Piero
Marina,Laura
Imelda,Ernesto
Rosalia,Tiziano
Uberto,Lazzaro
Mauro,Tatiana
Nina,Ida
Dolores,Damiano
Antonina,Annamaria
Eugenia,Liliana
Lilla,Rosina
Valerio,Oreste
Santino,Donna
Antonia,Giancarlo
Giorgia,Fabia
Bruno,Giulio
Danilo,Martino
Federico,Matteo
Lamberto,Niccolò
Camillo,Coriolano
Ruggiero,Cecilia
Ernesto,Eugenia
Victoria,Sebastiano
Elena,Gabriella
Saverio,Giorgio
Filippa,Pierpaolo
Anita,Agostino
Gioffre,Olga
Roberta,Ennio
Griselda,Tullio
Napoleone,Stefano
Tiziana,Ottavio
Benedetto,Rocco
Leone,Lara
Clelia,Gianfrancesco
Greca,Melissa
Margherita,Piermaria
Beatrice,Francesca
Laureano,Michela
Concetta,Ermanno
Piergiuseppe,Amico
Liana,Massimiliano
Liliana,Allegra
Gilberto,Amanda
Geronimo,Federigo
Daniele,Maura
Ronaldo,Edoardo
Tatiana,Gelsomina
Amleto,Michelangelo
Graziella,Gianfranco
Sante,Daniele
Allegra,Fiamma
Puccio,Lauretta
Romeo,Margherita
Patrizia,Fabio
Raffaele,Atenulf
Ansaldo,Giulia
Orazio,Morena
Isabella,Fedele
Ida,Gianni
Antonio,Tonino
Eraldo,Gianluigi
Paolo,Ronaldo
Annalisa,Sonia
Ludovico,Fredo
Rocco,Amedeo
Caterina,Renzo
Giada,Clelia
Giacomo,Aria
Filippo,Nicola
Bettina,Annibale
Tina,Mario
Valentina,Massimo
Veronica,Cassandra
Livio,Sylvia
Liberto,Benedetto
Calogero,Piersanti
Cristina,Raffaello
Riccardo,Vincentio
Eleanora,Rembrandt
Vittoria,Alberto
Agnolo,Temistocle
Gioachino,Leonardo
Pasqual,Greco
Pierina,Gabriele
Gianmarco,Arsenio
Maria,Pierangelo
Vittorio,Ranieri
Jacopo,Danilo
Romana,Valentina
Rembrandt,Leone
Girolamo,Flora
Galasso,Ramona
Guarino,Pasquale
Coluccio,Leopoldo
Milo,Alphons
Morena,Costantino
Donatello,Vincenzo
Rossana,Dario
Renata,Orlando
Umberto,Vittoria
Elvira,Iolanda
Melania,Emma
Melina,Luigina
Domenico,Milo
Evangelista,Ermenegildo
Fiamma,Enrico
Gastone,Pasqual
Serafina,Lodovico
Ricciotti,Osvaldo
Sophia,Ivo
Gian,Letizia
Gianfranco,Mattia
Marta,Erika
Costantino,Serafina
Stefano,Matilda
Giulietta,Bianca
Lidia,Isa
Luchino,Ippazio
Daria,Alessia
Stella,Lolita
Rodolfo,Priscilla
Renzo,Mercedes
Amico,Carmelo
Marcella,Nicoletta
Benito,Guarino
Irma,Giuliana
Nicola,Amadeo
Francesca,Marcantonio
Ippazio,Napoleone
Giancarlo,Bettina
Matilda,Rolando
Alberico,Fortunata
Piero,Federica
Virgilio,Giustino
Laura,Lucio
Adele,Ezio
Angelo,Romana
Arnulfo,Corrado
Camilla,Filippo
Giuliano,Sergius
Pasquale,Cirillo
Lara,Enzo
Dionigi,Marta
Licia,Lucrezia
Giacobbe,Marco
Niccolò,Pierluigi
Rosario,Agnolo
Edoardo,Panfilo
Silvio,Ubaldo
Fabio,Benito
Lauretta,Gian
Alberto,Nanni
Lodovico,Fabrizia
Sebastiano,Adelmo
Ottavio,Calogero
Augusto,Lisa
Fabrizio,Enzio
Leopoldo,Berenice
Nanni,Paoletta
Germana,Mirko
Gioele,Adriana
Lucrezia,Luciana
Annunziata,Rodolfo
Gino,Elena
Pierangelo,Silvestro
Sabatino,Giuliano
Vincentio,Anita
Giorgio,Franco
Martino,Nadia
Pompeo,Patrizio
Gianfrancesco,Luigi
Gabriella,Melania
Gionata,Calcedonio
Baldassare,Galasso
Milena,Giovanni
Amanda,Dionigi
Antonietta,Ansaldo
Ivo,Chiara
Fedele,Riccardo
Gianpietro,Domenico
Patrizio,Flavio
Mariana,Fausto
Simonetta,Mariana
Fredo,Torquato
Monica,Giampaolo
Rolando,Beppe
Ugo,Gilberto
Nedda,Giacomo
Mattia,Angelo
Antonella,Alina
Nino,Giampiero
Giacinto,Camilla
Mirco,Gioele
Diana,Arnaldo
Giosuè,Sandra
Ezio,Raffaella
Pomponio,Eraldo
Lisa,Alessio
Alfio,Antonello
Greco,Antonietta
Giovanni,Licia
Torquato,Lorenzo
Eva,Vanessa
Amedeo,Valeria
Hugo,Federico
Fabrizia,Ferdinando
Ranieri,Aurora
Fiorenzo,Giorgia
Tonia,Luchino
Michele,Tiziana
Giampaolo,Michele
Luciano,Nicolò
Osvaldo,Paloma
Donna,Germana
Fausto,Liana
Adriana,Eliana
Franco,Lando
Loretta,Antonio
Marcantonio,Silvio
Lando,Maria
Luciana,Gioacchino
Fiorino,Graziano
Zaira,Ermes
Raffaellino,Micheletto
Angelica,Gemma
Gianpaolo,Fulvio
Fernanda,Roberto
Alessia,Geronimo
Fortunata,Etta
Isa,Tonia
Marissa,Donatella
Sergius,Goffredo
Leonardo,Gastone
Amadeo,Guido
Pierluigi,Loretta
Gaspare,Sandro
Maurizio,Lidia
Berenice,Gino
Matteo,Augusto
Sylvia,Michelotto
Gabriele,Azeglio
Maurilio,Gianmarco
Piergiorgio,Arturo
Fulvio,Alfredo
Alessandro,Elisa
Gloria,Gaetano
Marco,Francesco
Alessio,Ricciotti
Priscilla,Melina
Giuseppina,Romeo
Tullio,Viridiana
Dario,Severino
Durante,Armando
Sole,Alessandra
Giuseppe,Serena
Costanzo,Giacinto
Raffaella,Adele
Martina,Marisa
Nico,Paola
Vincenzo,Telemaco
Claudio,Angelica
Gianna,Gionata
Alderano,Mariano
Roberto,Durante
Giustino,Dolores
Agostino,Carolina
Emilio,Lina
Paride,Antonella
Raimondo,Nico
Pina,Evangelista
Rita,Natalia
Pietro,Griselda
Ugolino,Stefania
Panfilo,Gustavo
Ciro,Livia
Amalia,Paulina
Pellegrino,Raffaele
Livia,Giuseppe
Biagio,Coluccio
Michelangelo,Simone
Sonia,Rosa
Barbara,Alessandro
Dino,Girolamo
Ignazio,Nedda
Olga,Arnulfo
Lucia,Annalisa
Giovanna,Ludovico
Giuliana,Victoria
Virginia,Lilla
Jolanda,Roman
Erika,Sophia
Paola,Gloria
Lolita,Antonia
Loredana,Isabella
Enzo,Sante
Bartolomeo,Ettore
Maura,Ruggero
Dante,Marcella
Iolanda,Ugolino
Sandro,Benvenuto
Giulia,Donatello
Rosa,Teresa
Gaetano,Puccio
Cesare,Carla
Ermanno,Flavia
Toni,Camillo
Ludovica,Claudio
Pier,Luisa
Gustavo,Biagio
Ilaria,Renata
Cipriano,Virginia
Armando,Jolanda
Flora,Patrizia
Rosaria,Pina
Gianluigi,Rosaria
Paloma,Gaspare
Melissa,Guglielmo
Elisa,Marina
Ermes,Giulietta
Simone,Antonino
Romolo,Concetta
Vanessa,Aldo
Calcedonio,Dina
Salvi,Raimondo
Adamo,Luca
Carolina,Luciano
Gianni,Giosuè
Michelotto,Liberto
Benvenuto,Laureano
Goffredo,Adriano
Giulio,Giuseppina
Temistocle,Rosario
Mirko,Fiorino
Etta,Gioachino
Raffaello,Claudia
